*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CarMyPrefBoardSMDv6dl_multi_x3
*Date=12:26:47
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
106;;;5.3587;-64.1414;0;Bottom;TXT23
107;;THT;1.04851;-51.8935;0;Bottom;J6
108;;;5.33023;-38.5476;0;Bottom;Via7
109;;3 mm [THT];3.80825;-24.9126;0;Bottom;IR1
110;;THT;1.07752;-42.3801;0;Bottom;JP
111;;;3.85195;-16.4592;90;Bottom;TXT22
112;680;0603 [SMD];3.04074;-67.4974;-90;Top;R4
113;;;5.3282;-15.1514;0;Bottom;Via17
114;;;8.91947;-53.0501;0;Bottom;TXT16
115;;;7.20621;-19.7558;90;Bottom;TXT25
116;;Melf DO-213 AA [SMD];6.84287;-42.5712;0;Top;D1
117;;Melf DO-213 AA [SMD];6.81504;-65.9897;0;Top;D5
118;;;6.64454;-65.9832;0;Bottom;Via8
119;;;6.55041;-50.5028;0;Bottom;TXT15
120;;sot23-3;3.98999;-16.4512;90;Top;U7
121;137nF;0603 [SMD, multilayer];6.69032;-63.2339;-90;Top;C7
122;680;0603 [SMD];3.06653;-20.6827;-90;Top;R6
123;;sod-323;7.6646;-9.19576;-90;Top;D11
124;;THT;8.47084;-15.7276;0;Bottom;JM2
125;;Melf DO-213 AA [SMD];6.83784;-21.5369;180;Top;D12
126;;;6.57621;-3.68807;0;Bottom;TXT15
127;;;0.644263;-43.528;0;Bottom;TXT27
128;;;6.67237;-42.5647;0;Bottom;Via2
129;;;8.29978;-28.2933;0;Bottom;Hole1
130;;sod-323;7.6388;-56.0105;-90;Top;D7
131;390;0603 [SMD];6.56592;-48.5242;90;Top;R3
132;;;2.78204;-11.6919;90;Bottom;TXT20
133;;;2.00333;-43.7591;-90;Bottom;TXT26
134;390;0603 [SMD];6.59374;-25.1057;90;Top;R2
135;;;5.30241;-61.9661;0;Bottom;Via12
